                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.84835,                0.84444,                 1.2837,                0.84893,                0.78823,                0.86212,                0.56512,                 1.2509,                0.90161,                 1.3765,             0.00067997,             0.00067997,             0.00067997
                     80,                0.85304,                0.85044,                 1.2839,                0.84699,                0.78609,                0.86264,                0.56503,                  1.251,                0.90145,                 1.3756,             0.00067268,             0.00067268,             0.00067268
                     81,                 0.8467,                0.84371,                   1.28,                0.83768,                0.79394,                0.86377,                0.56604,                 1.2473,                0.92217,                 1.3698,             0.00066534,             0.00066534,             0.00066534
                     82,                0.84661,                0.84905,                  1.283,                0.82204,                0.81171,                0.86667,                0.56759,                 1.2441,                0.90848,                 1.3654,             0.00065796,             0.00065796,             0.00065796
                     83,                0.84455,                0.83461,                 1.2808,                0.83109,                0.80418,                0.86445,                0.56832,                 1.2401,                0.89807,                  1.365,             0.00065055,             0.00065055,             0.00065055
                     84,                0.83841,                0.83612,                 1.2764,                0.83865,                 0.8056,                0.86641,                0.56821,                 1.2374,                0.89613,                 1.3632,              0.0006431,              0.0006431,              0.0006431
                     85,                0.84168,                0.83957,                 1.2788,                0.84219,                0.80537,                0.86692,                0.56888,                 1.2355,                0.90503,                 1.3648,             0.00063562,             0.00063562,             0.00063562
                     86,                0.84093,                0.83444,                  1.278,                0.84398,                 0.7995,                 0.8654,                0.57063,                 1.2324,                0.90396,                 1.3635,              0.0006281,              0.0006281,              0.0006281
                     87,                0.83747,                0.82675,                  1.274,                0.84155,                0.80034,                0.86694,                0.56973,                 1.2252,                0.88801,                 1.3551,             0.00062056,             0.00062056,             0.00062056
                     88,                0.83669,                0.83056,                 1.2745,                0.85087,                0.78731,                0.86439,                0.57057,                 1.2274,                0.88802,                 1.3565,             0.00061298,             0.00061298,             0.00061298
                     89,                0.82956,                0.81954,                 1.2673,                 0.8382,                0.79729,                0.86533,                0.57433,                 1.2222,                0.88743,                 1.3501,             0.00060538,             0.00060538,             0.00060538
                     90,                0.83817,                0.82002,                 1.2706,                0.84481,                0.79331,                0.86717,                0.57232,                 1.2243,                0.88155,                 1.3505,             0.00059775,             0.00059775,             0.00059775
                     91,                0.83009,                0.81523,                 1.2663,                0.82452,                0.80837,                 0.8657,                0.57187,                 1.2202,                0.88051,                 1.3473,              0.0005901,              0.0005901,              0.0005901
                     92,                0.83391,                0.81627,                 1.2656,                0.83021,                0.80172,                0.86586,                0.57359,                  1.227,                0.88077,                  1.352,             0.00058244,             0.00058244,             0.00058244
                     93,                0.83085,                0.81626,                 1.2652,                0.83128,                0.80507,                0.86532,                0.57342,                 1.2319,                0.88278,                 1.3549,             0.00057475,             0.00057475,             0.00057475
                     94,                0.82901,                0.81243,                 1.2638,                0.83699,                0.79864,                0.86571,                0.57436,                 1.2343,                0.88027,                 1.3564,             0.00056704,             0.00056704,             0.00056704
                     95,                0.82016,                0.80207,                 1.2598,                0.83915,                 0.8001,                0.86606,                0.57601,                 1.2353,                0.87521,                 1.3581,             0.00055932,             0.00055932,             0.00055932
                     96,                0.82923,                0.81405,                 1.2649,                0.83861,                0.79849,                0.86548,                 0.5749,                 1.2381,                0.86651,                 1.3603,             0.00055158,             0.00055158,             0.00055158
                     97,                0.81907,                0.80636,                 1.2658,                0.83741,                0.80022,                0.86611,                0.57488,                 1.2418,                0.86005,                 1.3624,             0.00054384,             0.00054384,             0.00054384
                     98,                0.81897,                0.80279,                 1.2625,                0.83655,                0.80571,                0.86623,                0.57553,                 1.2402,                0.85748,                 1.3619,             0.00053608,             0.00053608,             0.00053608
                     99,                0.81988,                0.80598,                 1.2636,                0.83948,                0.79606,                0.86649,                0.57578,                 1.2389,                0.85707,                  1.362,             0.00052832,             0.00052832,             0.00052832
                    100,                0.81673,                0.79065,                 1.2575,                0.83154,                0.80326,                0.86713,                0.57807,                 1.2365,                0.85417,                 1.3595,             0.00052055,             0.00052055,             0.00052055
                    101,                 0.8238,                0.79979,                  1.258,                0.83022,                0.80541,                0.86798,                0.57904,                  1.234,                0.85073,                 1.3554,             0.00051278,             0.00051278,             0.00051278
                    102,                0.81867,                0.79335,                 1.2559,                0.82378,                0.81396,                0.86838,                0.57936,                 1.2318,                0.84645,                 1.3535,               0.000505,               0.000505,               0.000505
                    103,                0.80799,                 0.7838,                 1.2511,                 0.8165,                0.81986,                0.86882,                0.57815,                 1.2305,                0.84312,                 1.3526,             0.00049722,             0.00049722,             0.00049722
                    104,                0.81251,                0.78974,                 1.2539,                0.81508,                0.82244,                0.86938,                0.57973,                 1.2308,                0.83956,                 1.3527,             0.00048945,             0.00048945,             0.00048945
                    105,                0.81967,                 0.7845,                 1.2576,                0.81609,                0.82745,                0.87078,                0.58044,                 1.2314,                0.83644,                 1.3535,             0.00048168,             0.00048168,             0.00048168
                    106,                0.80582,                0.77812,                 1.2444,                0.81804,                0.82934,                0.87042,                0.57908,                 1.2337,                0.83073,                 1.3546,             0.00047392,             0.00047392,             0.00047392
                    107,                0.80717,                 0.7761,                 1.2492,                0.81513,                 0.8287,                0.87027,                0.57928,                  1.233,                0.82813,                 1.3527,             0.00046616,             0.00046616,             0.00046616
                    108,                0.80596,                0.77302,                 1.2487,                0.81803,                0.82529,                0.87086,                0.57946,                 1.2291,                0.82601,                 1.3495,             0.00045842,             0.00045842,             0.00045842
                    109,                0.80694,                0.76899,                  1.245,                0.83034,                0.81861,                0.87028,                0.58014,                 1.2284,                0.82566,                 1.3486,             0.00045068,             0.00045068,             0.00045068
                    110,                0.80084,                0.77693,                 1.2444,                0.83406,                0.81327,                0.87006,                0.58073,                  1.227,                0.82578,                 1.3475,             0.00044296,             0.00044296,             0.00044296
                    111,                0.80488,                0.77803,                 1.2424,                 0.8306,                0.81528,                0.86955,                0.58136,                  1.227,                0.82474,                  1.347,             0.00043525,             0.00043525,             0.00043525
                    112,                0.80316,                0.76377,                 1.2481,                0.83417,                0.81137,                0.87075,                0.58166,                 1.2274,                 0.8238,                 1.3474,             0.00042756,             0.00042756,             0.00042756
                    113,                0.80107,                0.76613,                 1.2457,                0.83418,                0.81244,                0.87101,                0.58214,                 1.2283,                0.82194,                 1.3489,              0.0004199,              0.0004199,              0.0004199
                    114,                0.79453,                0.76098,                 1.2396,                0.83427,                0.80739,                0.87207,                0.58279,                 1.2284,                0.82053,                 1.3496,             0.00041225,             0.00041225,             0.00041225
                    115,                0.79638,                0.75804,                 1.2423,                0.83391,                0.80759,                0.87198,                0.58355,                 1.2269,                0.82036,                 1.3483,             0.00040462,             0.00040462,             0.00040462
                    116,                0.79228,                0.76066,                 1.2401,                0.83737,                0.80636,                0.87253,                0.58492,                 1.2265,                 0.8178,                 1.3486,             0.00039702,             0.00039702,             0.00039702
                    117,                0.79633,                0.76571,                 1.2433,                0.83981,                0.80513,                0.87259,                0.58538,                 1.2259,                0.81692,                 1.3479,             0.00038944,             0.00038944,             0.00038944
                    118,                0.79217,                0.75171,                 1.2367,                0.83837,                0.80647,                0.87318,                0.58569,                 1.2252,                0.81531,                 1.3466,              0.0003819,              0.0003819,              0.0003819
                    119,                0.79763,                0.76028,                 1.2385,                0.83799,                0.80813,                 0.8727,                0.58552,                 1.2248,                0.81526,                 1.3458,             0.00037438,             0.00037438,             0.00037438
                    120,                0.78838,                0.75099,                 1.2347,                0.85505,                0.79628,                0.87199,                0.58541,                  1.224,                 0.8142,                 1.3442,              0.0003669,              0.0003669,              0.0003669
                    121,                0.79958,                0.75037,                 1.2373,                0.85282,                0.79656,                0.87273,                0.58571,                 1.2239,                  0.815,                 1.3442,             0.00035945,             0.00035945,             0.00035945
                    122,                0.78534,                0.74905,                 1.2334,                0.85783,                0.79625,                0.87266,                0.58557,                 1.2228,                0.81613,                 1.3432,             0.00035204,             0.00035204,             0.00035204
                    123,                0.79094,                0.75639,                 1.2382,                0.86436,                0.79494,                0.87269,                 0.5852,                 1.2216,                0.81525,                 1.3426,             0.00034466,             0.00034466,             0.00034466
                    124,                0.78114,                0.74584,                 1.2304,                0.86227,                0.79607,                0.87273,                0.58541,                 1.2207,                0.81417,                  1.342,             0.00033732,             0.00033732,             0.00033732
                    125,                0.78234,                0.73725,                 1.2294,                0.86201,                0.79524,                0.87325,                0.58532,                 1.2211,                0.81349,                 1.3428,             0.00033003,             0.00033003,             0.00033003
                    126,                0.77891,                 0.7342,                  1.227,                0.86425,                0.79302,                0.87323,                 0.5862,                 1.2213,                0.81235,                  1.343,             0.00032278,             0.00032278,             0.00032278
                    127,                0.77853,                0.73027,                 1.2279,                0.86618,                0.79177,                0.87271,                0.58568,                 1.2214,                 0.8114,                 1.3432,             0.00031557,             0.00031557,             0.00031557
                    128,                0.78201,                0.74082,                 1.2297,                0.86428,                0.79433,                0.87279,                0.58667,                 1.2214,                0.81103,                 1.3434,             0.00030841,             0.00030841,             0.00030841
                    129,                0.77701,                0.73725,                 1.2241,                0.86365,                0.79713,                0.87269,                0.58666,                  1.221,                0.81085,                 1.3426,              0.0003013,              0.0003013,              0.0003013
                    130,                0.77785,                 0.7333,                 1.2239,                0.86447,                0.79866,                0.87321,                0.58661,                 1.2202,                0.81005,                 1.3419,             0.00029424,             0.00029424,             0.00029424
                    131,                0.77507,                0.73748,                 1.2251,                0.86363,                 0.7928,                0.87288,                0.58717,                 1.2198,                0.80882,                 1.3415,             0.00028723,             0.00028723,             0.00028723
                    132,                 0.7724,                0.72906,                 1.2233,                0.86901,                   0.79,                0.87411,                0.58742,                 1.2191,                 0.8073,                  1.341,             0.00028027,             0.00028027,             0.00028027
                    133,                0.76651,                0.71784,                 1.2159,                 0.8689,                0.79076,                 0.8735,                0.58699,                 1.2182,                0.80678,                   1.34,             0.00027337,             0.00027337,             0.00027337
                    134,                 0.7721,                0.72599,                 1.2224,                0.86816,                0.79102,                0.87413,                0.58817,                 1.2179,                 0.8052,                 1.3397,             0.00026653,             0.00026653,             0.00026653
                    135,                0.77141,                 0.7175,                 1.2179,                0.86998,                0.79012,                0.87401,                0.58847,                 1.2177,                0.80494,                 1.3396,             0.00025975,             0.00025975,             0.00025975
                    136,                0.77386,                 0.7229,                 1.2209,                0.86983,                0.79035,                 0.8743,                0.58873,                 1.2174,                0.80461,                 1.3395,             0.00025302,             0.00025302,             0.00025302
                    137,                0.76903,                0.72237,                 1.2202,                0.86807,                 0.7909,                0.87449,                0.58833,                 1.2175,                0.80447,                 1.3397,             0.00024636,             0.00024636,             0.00024636
                    138,                0.76883,                0.72207,                 1.2189,                0.86831,                 0.7911,                0.87447,                0.58797,                 1.2173,                0.80354,                 1.3397,             0.00023977,             0.00023977,             0.00023977
                    139,                0.76252,                0.72208,                 1.2199,                 0.8709,                0.79133,                0.87477,                0.58818,                 1.2174,                0.80256,                 1.3397,             0.00023323,             0.00023323,             0.00023323
                    140,                0.76695,                0.71669,                 1.2193,                0.87138,                0.79351,                 0.8748,                 0.5883,                 1.2169,                0.80165,                 1.3394,             0.00022677,             0.00022677,             0.00022677
                    141,                0.76373,                0.71563,                 1.2173,                0.87018,                0.79427,                0.87499,                0.58808,                 1.2171,                0.80087,                 1.3394,             0.00022037,             0.00022037,             0.00022037
                    142,                0.76495,                 0.7226,                 1.2208,                0.87012,                0.79255,                0.87508,                0.58764,                 1.2175,                0.79969,                 1.3397,             0.00021405,             0.00021405,             0.00021405
