                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.4452,                0.94095,                 1.3487,                0.83032,                0.78768,                0.85672,                0.47964,                 1.4323,                0.79618,                 1.4306,               0.003862,               0.003862,               0.003862
                    127,                 1.4417,                 0.9299,                 1.3468,                0.82487,                0.79866,                0.85797,                0.47915,                 1.4369,                0.79394,                 1.4398,              0.0038125,              0.0038125,              0.0038125
                    128,                 1.4484,                0.93723,                 1.3563,                 0.8255,                0.79378,                0.85348,                0.48367,                 1.4263,                 0.8065,                 1.4294,               0.003763,               0.003763,               0.003763
                    129,                  1.429,                 0.9214,                 1.3415,                0.82788,                0.80412,                0.86188,                0.48271,                 1.4348,                0.79085,                 1.4352,              0.0037135,              0.0037135,              0.0037135
                    130,                 1.4367,                0.93872,                 1.3461,                0.83331,                0.79914,                0.86117,                0.48605,                 1.4222,                0.79487,                 1.4266,               0.003664,               0.003664,               0.003664
                    131,                 1.4276,                  0.921,                 1.3491,                0.83716,                0.79256,                0.86224,                0.48688,                 1.4199,                0.79226,                 1.4267,              0.0036145,              0.0036145,              0.0036145
                    132,                 1.4222,                 0.9204,                 1.3427,                0.82098,                0.80721,                0.85873,                0.48331,                 1.4191,                0.78728,                 1.4235,               0.003565,               0.003565,               0.003565
                    133,                 1.4241,                0.93173,                 1.3411,                0.82821,                0.79591,                0.86054,                0.48637,                 1.4138,                0.79986,                 1.4272,              0.0035155,              0.0035155,              0.0035155
                    134,                  1.427,                0.92139,                 1.3458,                0.81557,                0.80171,                0.85704,                0.48444,                 1.4115,                0.79778,                 1.4343,               0.003466,               0.003466,               0.003466
                    135,                 1.4209,                 0.9138,                 1.3394,                0.82465,                0.79896,                0.85975,                0.48354,                   1.42,                0.80463,                 1.4374,              0.0034165,              0.0034165,              0.0034165
                    136,                 1.4117,                0.92017,                 1.3471,                0.82767,                0.79853,                0.85992,                0.48518,                 1.4157,                 0.7908,                 1.4304,               0.003367,               0.003367,               0.003367
                    137,                 1.4278,                0.91555,                 1.3369,                0.82107,                0.78859,                0.85572,                0.48384,                 1.4178,                0.78678,                 1.4313,              0.0033175,              0.0033175,              0.0033175
                    138,                  1.427,                0.91889,                 1.3392,                0.82598,                0.78707,                 0.8556,                0.48433,                 1.4166,                0.78548,                 1.4326,               0.003268,               0.003268,               0.003268
                    139,                 1.4061,                0.91045,                 1.3452,                 0.8217,                0.79164,                0.85247,                0.48605,                  1.423,                0.78805,                 1.4327,              0.0032185,              0.0032185,              0.0032185
                    140,                 1.4081,                0.90321,                 1.3331,                0.83619,                0.79012,                0.85599,                 0.4834,                 1.4144,                0.78593,                  1.426,               0.003169,               0.003169,               0.003169
                    141,                 1.4047,                0.90716,                 1.3271,                0.83268,                0.79551,                0.86024,                0.48749,                 1.4133,                0.77878,                 1.4284,              0.0031195,              0.0031195,              0.0031195
                    142,                 1.4095,                0.92603,                 1.3392,                0.82745,                0.78704,                0.85518,                0.48893,                 1.4051,                0.79629,                 1.4201,                0.00307,                0.00307,                0.00307
                    143,                  1.401,                0.90043,                 1.3344,                0.82003,                0.79622,                0.85454,                0.48788,                 1.4112,                0.78755,                  1.431,              0.0030205,              0.0030205,              0.0030205
                    144,                 1.4149,                 0.9159,                 1.3447,                0.82794,                0.79317,                0.85766,                0.48527,                 1.4259,                0.78903,                 1.4391,               0.002971,               0.002971,               0.002971
                    145,                 1.4016,                0.90551,                 1.3322,                0.82358,                0.79896,                0.85954,                0.48431,                 1.4211,                 0.7918,                 1.4308,              0.0029215,              0.0029215,              0.0029215
                    146,                 1.3985,                0.88861,                 1.3223,                0.84395,                 0.7886,                0.86002,                0.48434,                 1.4156,                0.79198,                 1.4348,               0.002872,               0.002872,               0.002872
                    147,                 1.3778,                0.88721,                  1.312,                0.83533,                0.78615,                  0.861,                0.49098,                 1.4032,                0.78117,                 1.4308,              0.0028225,              0.0028225,              0.0028225
                    148,                 1.3872,                0.89912,                 1.3229,                0.82947,                0.79591,                0.85865,                0.48933,                 1.4018,                0.78733,                 1.4331,               0.002773,               0.002773,               0.002773
                    149,                 1.3987,                0.89171,                 1.3184,                0.82642,                0.79011,                0.86082,                0.48976,                 1.3933,                0.78571,                 1.4215,              0.0027235,              0.0027235,              0.0027235
                    150,                 1.3837,                0.88759,                 1.3206,                 0.8252,                0.80598,                0.86347,                0.49076,                 1.4006,                0.78316,                 1.4289,               0.002674,               0.002674,               0.002674
                    151,                 1.3816,                0.88339,                 1.3165,                 0.8459,                0.79712,                0.86183,                0.49047,                 1.4064,                0.77931,                 1.4311,              0.0026245,              0.0026245,              0.0026245
                    152,                 1.3879,                 0.8976,                  1.324,                0.84329,                0.79347,                0.86175,                0.49333,                 1.4021,                0.78193,                 1.4258,               0.002575,               0.002575,               0.002575
